# time, R, alfa_r, veloc, accel
109.50,6409799.07145317,0.00842540,677.35018646,-9.71644219
109.60,6409807.36706664,0.00843588,677.22016224,-9.71623630
109.70,6409815.56623000,0.00844637,677.09151473,-9.71603139
109.80,6409823.66894527,0.00845686,676.96424442,-9.71582747
109.90,6409831.67521443,0.00846734,676.83835180,-9.71562453
110.00,6409839.58503946,0.00847783,676.71383734,-9.71542255
110.10,6409847.39842234,0.00848832,676.59070152,-9.71522152
110.20,6409855.11536503,0.00849880,676.46894482,-9.71502144
110.30,6409862.73586949,0.00850929,676.34856768,-9.71482230
110.40,6409870.25993765,0.00851977,676.22957057,-9.71462408
110.50,6409877.68757147,0.00853026,676.11195393,-9.71442679
110.60,6409885.01877286,0.00854074,675.99571820,-9.71423040
110.70,6409892.25354374,0.00855123,675.88086382,-9.71403491
110.80,6409899.39188603,0.00856171,675.76739121,-9.71384032
110.90,6409906.43380163,0.00857219,675.65530080,-9.71364661
111.00,6409913.37929242,0.00858268,675.54459299,-9.71345377
111.10,6409920.22836030,0.00859316,675.43526819,-9.71326180
111.20,6409926.98100714,0.00860365,675.32732680,-9.71307069
111.30,6409933.63723481,0.00861413,675.22076921,-9.71288042
111.40,6409940.19704517,0.00862461,675.11559581,-9.71269100
111.50,6409946.66044007,0.00863510,675.01180697,-9.71250240
111.60,6409953.02742136,0.00864558,674.90940307,-9.71231463
111.70,6409959.29799086,0.00865606,674.80838446,-9.71212767
111.80,6409965.47215042,0.00866654,674.70875151,-9.71194152
111.90,6409971.54990185,0.00867703,674.61050456,-9.71175617
112.00,6409977.53124696,0.00868751,674.51364395,-9.71157160
112.10,6409983.41618755,0.00869799,674.41817003,-9.71138782
112.20,6409989.20472544,0.00870847,674.32408310,-9.71120481
112.30,6409994.89686239,0.00871895,674.23138350,-9.71102256
112.40,6410000.49260021,0.00872944,674.14007154,-9.71084107
112.50,6410005.99194066,0.00873992,674.05014752,-9.71066033
112.60,6410011.39488552,0.00875040,673.96161174,-9.71048033
112.70,6410016.70143654,0.00876088,673.87446448,-9.71030106
112.80,6410021.91159548,0.00877136,673.78870604,-9.71012252
112.90,6410027.02536409,0.00878184,673.70433668,-9.70994469
113.00,6410032.04274410,0.00879232,673.62135667,-9.70976757
113.10,6410036.96373725,0.00880280,673.53976628,-9.70959115
113.20,6410041.78834527,0.00881328,673.45956576,-9.70941542
113.30,6410046.51656988,0.00882376,673.38075534,-9.70924038
113.40,6410051.14841279,0.00883424,673.30333527,-9.70906602
113.50,6410055.68387571,0.00884472,673.22730577,-9.70889232
113.60,6410060.12296034,0.00885520,673.15266708,-9.70871928
113.70,6410064.46566838,0.00886568,673.07941939,-9.70854690
113.80,6410068.71200151,0.00887616,673.00756293,-9.70837517
113.90,6410072.86196141,0.00888664,672.93709788,-9.70820407
114.00,6410076.91554977,0.00889711,672.86802443,-9.70803361
114.10,6410080.87276824,0.00890759,672.80034278,-9.70786376
114.20,6410084.73361851,0.00891807,672.73405310,-9.70769454
114.30,6410088.49810221,0.00892855,672.66915554,-9.70752592
114.40,6410092.16622102,0.00893903,672.60565028,-9.70735790
114.50,6410095.73797656,0.00894950,672.54353746,-9.70719048
114.60,6410099.21337049,0.00895998,672.48281724,-9.70702364
114.70,6410102.59240444,0.00897046,672.42348973,-9.70685738
114.80,6410105.87508004,0.00898094,672.36555508,-9.70669169
114.90,6410109.06139891,0.00899141,672.30901339,-9.70652656
115.00,6410112.15136267,0.00900189,672.25386479,-9.70636199
115.10,6410115.14497295,0.00901237,672.20010938,-9.70619797
115.20,6410118.04223133,0.00902284,672.14774725,-9.70603449
115.30,6410120.84313943,0.00903332,672.09677849,-9.70587154
115.40,6410123.54769885,0.00904379,672.04720319,-9.70570912
115.50,6410126.15591118,0.00905427,671.99902140,-9.70554722
115.60,6410128.66777801,0.00906475,671.95223320,-9.70538584
115.70,6410131.08330092,0.00907522,671.90683865,-9.70522495
115.80,6410133.40248149,0.00908570,671.86283778,-9.70506457
115.90,6410135.62532130,0.00909617,671.82023065,-9.70490468
116.00,6410137.75182191,0.00910665,671.77901727,-9.70474527
116.10,6410139.78198489,0.00911712,671.73919768,-9.70458634
116.20,6410141.71581179,0.00912760,671.70077189,-9.70442787
116.30,6410143.55330419,0.00913807,671.66373990,-9.70426987
116.40,6410145.29446361,0.00914855,671.62810171,-9.70411233
116.50,6410146.93929162,0.00915902,671.59385732,-9.70395523
116.60,6410148.48778976,0.00916949,671.56100670,-9.70379857
116.70,6410149.93995956,0.00917997,671.52954984,-9.70364235
116.80,6410151.29580256,0.00919044,671.49948669,-9.70348655
